title,company,location,description,redirect_url,skills
Data Scientist,Harnham,"The City, Central London","Senior Data Scientist London – Hybrid Up to £70,000 About the Role I’m currently partnered with a global leader in data, insights, and consulting who are looking to bring on a Senior Data Scientist to join their highly respected data team. This is a high-impact opportunity focused on yield optimisation – using data science to drive better consistency, forecast accuracy, and operational efficiency. You’ll work closely with both commercial and technical stakeholders to develop data-driven strateg…",https://www.adzuna.co.uk/jobs/land/ad/5257393473?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=E59B59178849FD2CD6A3F06ADD407C63651D0D04,[]
Data Scientist,Harnham,"London, UK","Data Scientist Hybrid – London (3 days a week) Up to £75,000  Pension  Share Scheme About the Role We’re working with a professional services firm undergoing a major data transformation, now looking to bring on board their first in-house Data Scientist . Reporting directly into the CFO, you’ll take the lead on developing and managing the firm’s data infrastructure, starting with the continued build-out and integration of their data lake. You’ll work on high-impact reporting and analytics projec…",https://www.adzuna.co.uk/jobs/land/ad/5234162928?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=4712EB02182C300459F7FE2102AE9956ACA53B47,[]
Data Scientist,Understanding Recruitment,"The City, Central London"," Net Zero | London | Data Science We're looking for a Data Scientist to join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more!), this team is developing cutting-edge solutions to optimize energy usage - predicting and balancing demand in real time to shift consumption to greener, cheaper power Location: London (Hybrid, 2/3 days in-office)  Why join? Wo…",https://www.adzuna.co.uk/jobs/land/ad/5254333544?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=57E63D7A3FFB9206FE54851B6ACC242D28B93F72,[]
Data Scientist,Understanding Recruitment,"London, UK"," Net Zero | London | Data Science We're looking for a Data Scientist to join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more!), this team is developing cutting-edge solutions to optimize energy usage - predicting and balancing demand in real time to shift consumption to greener, cheaper power Location: London (Hybrid, 2/3 days in-office)  Why join? Wo…",https://www.adzuna.co.uk/jobs/land/ad/5254332356?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7566600C1507E0520F6C1AE21FADE1605D21997C,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist - Marketing/Customer Analytics London/Reading– Hybrid (2 days in London, 1 day in Reading) (Flexi Hours) Up to £60,000  Benefits About the Role A leading research and insights company is looking for a Data Scientist to join their growing team. With a strong focus on data-driven decision-making, they help brands across entertainment, tech, sports, and consumer goods maximise their marketing impact. You’ll be part of a collaborative Data Science team, working on large-scale dataset…",https://www.adzuna.co.uk/jobs/land/ad/5248917366?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=6906DC69D15D7CD4E23B4D29AF531AF726700F46,[]
Data Scientist,Harnham,"London, UK","Data Scientist - Marketing/Customer Analytics London/Reading– Hybrid (2 days in London, 1 day in Reading) (Flexi Hours) Up to £60,000  Benefits About the Role A leading research and insights company is looking for a Data Scientist to join their growing team. With a strong focus on data-driven decision-making, they help brands across entertainment, tech, sports, and consumer goods maximise their marketing impact. You’ll be part of a collaborative Data Science team, working on large-scale dataset…",https://www.adzuna.co.uk/jobs/land/ad/5170687521?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7D7DCC0CEF1F0BD74AD10798BB22FA274EDDC48C,[]
Data Scientist,Intellect Group,"The City, Central London","Are you a curious and driven early-career professional eager to shape the future through Artificial Intelligence and Data Science? We’re looking for a Junior AI & Data Scientist to join our forward-thinking London-based team and contribute to transformative AI initiatives from day one! In this role, you’ll collaborate with machine learning engineers, product teams, and domain experts to design and deploy AI models that solve real-world problems. From natural language processing to computer visi…",https://www.adzuna.co.uk/jobs/land/ad/5248918882?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=BA92E5E9DFF851D49F1FE56804D7998E00CB3375,[]
Data Scientist,Intellect Group,"London, UK","Are you a curious and driven early-career professional eager to shape the future through Artificial Intelligence and Data Science? We’re looking for a Junior AI & Data Scientist to join our forward-thinking London-based team and contribute to transformative AI initiatives from day one! In this role, you’ll collaborate with machine learning engineers, product teams, and domain experts to design and deploy AI models that solve real-world problems. From natural language processing to computer visi…",https://www.adzuna.co.uk/jobs/land/ad/5170678620?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=9B8D13BAA4BC8C889CA8041EB30E7D6BC250E7C9,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist London (Hybrid Working) £65,000 - £75,000 An established professional services business with ambitions for growth is looking to hire a hands-on, commercially minded data professional. This newly created role will sit at the intersection of data engineering and data science, supporting both operational reporting and long-term strategic insight projects. With a lean but evolving technology function, the business is investing in its data capabilities and seeking someone who can work…",https://www.adzuna.co.uk/jobs/land/ad/5249081483?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=376C283F80C3CA4675F957F8DECC2F8FEEA1246F,[]
Data Scientist,Harnham,"London, UK","Data Scientist London (Hybrid Working) £65,000 - £75,000 An established professional services business with ambitions for growth is looking to hire a hands-on, commercially minded data professional. This newly created role will sit at the intersection of data engineering and data science, supporting both operational reporting and long-term strategic insight projects. With a lean but evolving technology function, the business is investing in its data capabilities and seeking someone who can work…",https://www.adzuna.co.uk/jobs/land/ad/5224356993?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=CDD231C5CDAA56CADC1AF23CD394BD61018E0E32,[]
Data Scientist,Quest Search and Selection,"The City, Central London","Data Scientist – Category Management (with ML/AI Focus) About the Role: Quest Search & Selection is working with a leading tech-driven eCommerce platform specializing in consumer goods and rapid delivery. Offering a wide product assortment; including groceries, household essentials, over-the-counter medicine, office supplies, and fresh food. The business leverages data and innovation at scale to drive customer satisfaction and operational excellence. We are seeking a Data Scientist – Category M…",https://www.adzuna.co.uk/jobs/land/ad/5259165344?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=F8870AE54402D2F336493F244A03E765D3FEFB61,[]
Data Scientist,Quest Search and Selection,"London, UK","Data Scientist – Category Management (with ML/AI Focus) About the Role: Quest Search & Selection is working with a leading tech-driven eCommerce platform specializing in consumer goods and rapid delivery. Offering a wide product assortment; including groceries, household essentials, over-the-counter medicine, office supplies, and fresh food. The business leverages data and innovation at scale to drive customer satisfaction and operational excellence. We are seeking a Data Scientist – Category M…",https://www.adzuna.co.uk/jobs/land/ad/5259166051?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=E0E3AD6EDA9D68B81F95BA5B754DB1711A7C76E9,[]
Data Scientist,AVA Energy,"The City, Central London","AVA are working with an leading international renewable energy developer and operator in their search for a Data Scientist who will sit in their BESS Division. Responsibilities To leverage advanced analytics, machine learning, and data visualization techniques by driving data-driven strategies to optimize operations, forecast performance, and support strategic decision-making Close interface with Commercial Team supporting overall development of a data platform for the projects For the monitori…",https://www.adzuna.co.uk/jobs/land/ad/5249080470?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=A982541236B8DDB1DEC95DDF1FD8DF2F950B3EDD,['data visualization']
Data Scientist,AVA Energy,"London, UK","AVA are working with an leading international renewable energy developer and operator in their search for a Data Scientist who will sit in their BESS Division. Responsibilities To leverage advanced analytics, machine learning, and data visualization techniques by driving data-driven strategies to optimize operations, forecast performance, and support strategic decision-making Close interface with Commercial Team supporting overall development of a data platform for the projects For the monitori…",https://www.adzuna.co.uk/jobs/land/ad/5232159569?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=F4E0C001E5E52FEA4CCED03F7B45D465C853C989,['data visualization']
Data Scientist,Digitas UK,"The City, Central London","DATA SCIENTIST Start - ASAP Duration - 2 to 3 months HYBRID - 2 days onsite / 3 days remote Location - Chancery Lane, London Daily rate - TBC THE ROLE We are seeking an exceptional Data Scientist with expertise in causal inference, experimental design, and conformal prediction to join our innovative analytics data science team. In this role, you'll leverage advanced statistical methods to extract meaningful insights from complex data, design robust experiments, and develop predictive models wit…",https://www.adzuna.co.uk/jobs/land/ad/5248917462?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=1B09492E7A93F2A353D68537CB851FC876B34E55,[]
Data Scientist,Digitas UK,"London, UK","DATA SCIENTIST Start - ASAP Duration - 2 to 3 months HYBRID - 2 days onsite / 3 days remote Location - Chancery Lane, London Daily rate - TBC THE ROLE We are seeking an exceptional Data Scientist with expertise in causal inference, experimental design, and conformal prediction to join our innovative analytics data science team. In this role, you'll leverage advanced statistical methods to extract meaningful insights from complex data, design robust experiments, and develop predictive models wit…",https://www.adzuna.co.uk/jobs/land/ad/5234162545?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=C48F3BC2292BEB93EA78572D954852F494868B15,[]
Data Scientist,Insurwave Limited,"The City, Central London","At Insurwave, we are looking for remarkable people who thrive on making an exceptional contribution. We now have an exciting opportunity for a Data Scientist to play a key role in our Data and AI team. If making a difference gets you out of bed in the morning, then this could be the perfect opportunity and the start of something incredible! What will you be doing? As a Mid-Level Data Scientist, you will play a critical role within a multidisciplinary team of data scientists, analysts, and domai…",https://www.adzuna.co.uk/jobs/land/ad/5249036466?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7EF744097D2216AAC672B2E830BABBAEAE910859,[]
Data Scientist,Insurwave Limited,"London, UK","At Insurwave, we are looking for remarkable people who thrive on making an exceptional contribution. We now have an exciting opportunity for a Data Scientist to play a key role in our Data and AI team. If making a difference gets you out of bed in the morning, then this could be the perfect opportunity and the start of something incredible! What will you be doing? As a Mid-Level Data Scientist, you will play a critical role within a multidisciplinary team of data scientists, analysts, and domai…",https://www.adzuna.co.uk/jobs/land/ad/5234158748?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=67C6BBA3F1CC1D81A35223A86D2563E91010AF4B,[]
Data Scientist,Stanton House,"The City, Central London"," We’re Hiring: Data Scientist | Leading Music Investment Company | London (Hybrid) Are you a data expert who loves solving real-world problems with predictive models and analytics? Join a leading music rights investment and management company where your models will drive strategic decisions across a catalogue of over 45,000 songs and recordings.  Location: London (3 days per week in-office)  About the Role We’re on the hunt for a talented Data Scientist with strong statistical foundations, top-…",https://www.adzuna.co.uk/jobs/land/ad/5249083091?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=1A18F3BE6FFB69812B6C60B0AC46BCB1C19FB54E,[]
Data Scientist,Stanton House,"London, UK"," We’re Hiring: Data Scientist | Leading Music Investment Company | London (Hybrid) Are you a data expert who loves solving real-world problems with predictive models and analytics? Join a leading music rights investment and management company where your models will drive strategic decisions across a catalogue of over 45,000 songs and recordings.  Location: London (3 days per week in-office)  About the Role We’re on the hunt for a talented Data Scientist with strong statistical foundations, top-…",https://www.adzuna.co.uk/jobs/land/ad/5232131269?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=A7454F381B81F74406CE9E0169254E212BA7F445,[]
Data Scientist,Intellect Group,"London, UK","Are you passionate about data and consumer behaviour? Join a fast-growing retail innovation company in the heart of London. We're looking for a Junior Data Scientist eager to apply their analytical and modelling skills to support data-driven decisions that improve performance, enhance customer engagement, and increase profitability across the retail value chain.  Your Responsibilities: Analyse consumer and sales data: Work with large, complex datasets to uncover insights on shopper behaviour, p…",https://www.adzuna.co.uk/jobs/land/ad/5255907336?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=3C924A9B30EB03FFD36E89A0C163B6BEF513BA7B,[]
Data Scientist,Ultralytics,"London, UK"," Who We Are At Ultralytics , we relentlessly drive innovation in AI, building the world's leading YOLO models . We're looking for passionate individuals obsessed with AI, eager to make a global impact, and ready to excel in a dynamic, high-energy environment. Join our team and help shape the future of AI.  Location and Legalities This full-time Data Scientist position is based onsite in our brand-new Ultralytics office in London, UK. Applicants must have legal authorization to work in the UK, a…",https://www.adzuna.co.uk/jobs/land/ad/5238162753?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=001D2D87528E32D0BA18A8604B6DEBDA44530BAF,['excel']
Data Scientist,Ultralytics,"The City, Central London"," Who We Are At Ultralytics , we relentlessly drive innovation in AI, building the world's leading YOLO models . We're looking for passionate individuals obsessed with AI, eager to make a global impact, and ready to excel in a dynamic, high-energy environment. Join our team and help shape the future of AI.  Location and Legalities This full-time Data Scientist position is based onsite in our brand-new Ultralytics office in London, UK. Applicants must have legal authorization to work in the UK, a…",https://www.adzuna.co.uk/jobs/land/ad/5248999656?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=97195A13A525CBA15B03C3CD0679022C27A1057B,['excel']
Data Scientist Environmental Insights,ADLIB Recruitment,"South East London, London","Turn biodiversity data into insight at a pioneering nature tech start-up Use Python & GCP to analyse real-world environmental sensor data. Create impactful dashboards for sustainability and agriculture clients. Join a fast-growing, purpose-driven team with real-world impact. Were working with a pioneering nature tech start-up thats using acoustic sensor technology and cloud data to support sustainability in agriculture, food production, and land management. Their innovation helps monitor pollin…",https://www.adzuna.co.uk/jobs/land/ad/5201803878?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=99BA5F7C642C85A8B6B53E64438418ED7C14B389,"['gcp', 'python']"
Data Scientist,Cornwallis Elt,"London, UK","Data Scientist – Lloyds, Actuarial, Claims, Pricing, Python, Azure, Automation, Data Analysis, SQL, Actuarial, London Markets, London – Paying up to £75,000 Base  Bonus My client, a leading London Market syndicate, is seeking a Data Scientist to join their organisation on a permanent basis. This role will be based in their London office, with a hybrid working model (3 days per week in the office). You will join the Data Science and Analytics Team, working closely with the Data Science Manager t…",https://www.adzuna.co.uk/jobs/land/ad/5260917212?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=D9F311BB5822542E8A815BA76D15329F4A2C80AE,"['sql', 'azure', 'python']"
